date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:15	10779/10779	---M--	403	error ('Forbidden')	text/html	date:Wed,%2009%20Jul%202014%2000:11:11%20GMT	http://www.dmv.ca.gov/robots.txt		(from )
17:11:16	61916/61916	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202014%2000:11:11%20GMT	http://www.dmv.ca.gov/portal/home/dmv.htm	E:/DMV/dmv/www.dmv.ca.gov/portal/home/dmv.html	(from )
17:11:17	3569/3569	---M--	200	added ('OK')	application/x-javascript	etag:%22134d3-df1-969c9d40%22	http://www.dmv.ca.gov/imageserver/plumtree/common/private/js/jsincluder/LATEST/PTIncluder.js	E:/DMV/dmv/www.dmv.ca.gov/imageserver/plumtree/common/private/js/jsincluder/LATEST/PTIncluder.js	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:17	11445/11445	---M--	200	added ('OK')	text/css	etag:%222305b-2cb5-bd1bd280%22	http://www.dmv.ca.gov/imageserver/dmv/css/site_styles.css	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/css/site_styles.css	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:17	1695/1695	---M--	200	added ('OK')	text/css	etag:%222306a-69f-15674c0%22	http://www.dmv.ca.gov/imageserver/dmv/css/site_box_with_rounded_corners.css	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/css/site_box_with_rounded_corners.css	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:18	784/784	---M--	200	added ('OK')	text/css	etag:%2223068-310-174f940%22	http://www.dmv.ca.gov/imageserver/dmv/css/site_navigation.css	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/css/site_navigation.css	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:18	891/891	---M--	200	added ('OK')	text/css	etag:%222306b-37b-15674c0%22	http://www.dmv.ca.gov/imageserver/dmv/css/site_design01.css	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/css/site_design01.css	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:18	271/271	---M--	200	added ('OK')	text/css	etag:%222305c-10f-165b700%22	http://www.dmv.ca.gov/imageserver/dmv/css/site_footer_with_dark_container.css	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/css/site_footer_with_dark_container.css	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:18	496/496	---M--	200	added ('OK')	text/css	etag:%2222c3e-1f0-15674c0%22	http://www.dmv.ca.gov/imageserver/dmv/css/vc.css	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/css/vc.css	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:19	11316/11316	---M--	200	added ('OK')	text/css	etag:%222305d-2c34-38befcc0%22	http://www.dmv.ca.gov/imageserver/dmv/css/site_dmv_app.css	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/css/site_dmv_app.css	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:22	10053/10053	---M--	200	added ('OK')	application/x-javascript	etag:%2223094-2745-a0889d40%22	http://www.dmv.ca.gov/imageserver/dmv/js/site_scripts.js	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/js/site_scripts.js	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:22	11671/11671	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202014%2000:11:18%20GMT	http://www.dmv.ca.gov/portal/home/plumtree/common/private/js/	E:/DMV/dmv/www.dmv.ca.gov/portal/home/plumtree/common/private/js/index.html	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:23	16133/16133	---M--	200	added ('OK')	application/x-javascript	etag:%22137e4-3f05-5a6c28c0%22	http://www.dmv.ca.gov/imageserver/plumtree/portal/private/js/ptcommonopener.js	E:/DMV/dmv/www.dmv.ca.gov/imageserver/plumtree/portal/private/js/ptcommonopener.js	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:24	36828/36828	---M--	200	added ('OK')	application/x-javascript	etag:%2223099-8fdc-a43c3a40%22	http://www.dmv.ca.gov/imageserver/dmv/js/site_wz_tooltip.js	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/js/site_wz_tooltip.js	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:26	109560/109560	---M--	200	added ('OK')	application/x-javascript	etag:%22137e8-1abf8-5a6c28c0%22	http://www.dmv.ca.gov/imageserver/plumtree/portal/private/js/dojo.js	E:/DMV/dmv/www.dmv.ca.gov/imageserver/plumtree/portal/private/js/dojo.js	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:27	9463/9463	---M--	200	added ('OK')	image/png	etag:%221b2c2-24f7-1233b200%22	http://www.dmv.ca.gov/imageserver/dmv/images/site/design01/header_ca_gov.png	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/images/site/design01/header_ca_gov.png	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:30	61914/61914	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202014%2000:11:23%20GMT	http://www.dmv.ca.gov/portal/home/dmv.htm?lang=en	E:/DMV/dmv/www.dmv.ca.gov/portal/home/dmv9ed2.html	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
17:11:32	727/727	---M--	200	added ('OK')	image/gif	etag:%221b1fe-2d7-2a1b77c0%22	http://www.dmv.ca.gov/imageserver/dmv/images/site/common/disabled_20x20.gif	E:/DMV/dmv/www.dmv.ca.gov/imageserver/dmv/images/site/common/disabled_20x20.gif	(from http://www.dmv.ca.gov/portal/home/dmv.htm)
